customer_unique_id,order_count,first_purchase_date,last_purchase_date,total_spent,state,city
8d50f5eadf50201ccdcedfb9e2ac8455,17,2017-05-15 23:30:00,2018-08-20 19:14:00,902.04,SP,sao paulo
3e43e6105506432c953e165fb2acf44c,9,2017-09-18 18:53:00,2018-02-27 18:36:00,1172.6699999999998,SP,praia grande
1b6c7548a2a1f9037c1fd3ddfed95f33,7,2017-11-13 16:44:00,2018-02-14 13:22:00,959.01,MG,ituiutaba
ca77025e7201e3b30c44b472ff346268,7,2017-10-09 12:34:00,2018-06-01 11:38:00,1122.72,PE,recife
6469f99c1f9dfae7733b25662e7f1782,7,2017-09-19 01:02:00,2018-06-28 00:43:00,758.83,SP,santos
f0e310a6839dce9de1638e0fe5ab282a,6,2017-05-20 08:53:00,2018-04-05 09:04:00,540.69,ES,vitoria
de34b16117594161a6a89c50b289d35a,6,2017-11-03 00:16:00,2018-01-17 23:34:00,530.38,SP,santo andre
47c1a3033b8b77b3ab6e109eb4d5fdf3,6,2017-08-07 14:14:00,2018-01-24 15:15:00,944.21,SP,jandira
12f5d6e1cbf93dafd9dcc19095df0b3d,6,2017-01-05 14:18:00,2017-01-05 15:25:00,110.72,PR,curitiba
63cfc61cee11cbe306bff5857d00bfe4,6,2017-05-11 14:39:00,2018-05-28 17:20:00,826.3199999999999,RJ,rio de janeiro
dc813062e0fc23409cd255f7f53c7074,6,2017-07-01 04:22:00,2018-08-23 00:07:00,1033.6200000000001,PE,garanhuns
fe81bb32c243a86b2f86fbf053fe6140,5,2017-10-22 11:29:00,2018-06-21 12:10:00,1590.76,SP,sao paulo
56c8638e7c058b98aae6d74d2dd6ea23,5,2017-07-12 06:48:00,2018-04-19 18:54:00,806.47,MG,guaxupe
394ac4de8f3acb14253c177f0e15bc58,5,2017-12-22 19:23:00,2018-08-15 18:01:00,745.41,SP,sao paulo
35ecdf6858edc6427223b64804cf028e,5,2017-08-05 14:55:00,2018-03-31 21:18:00,603.9,MA,sao luis
4e65032f1f574189fb793bac5a867bbc,5,2017-03-26 18:39:00,2018-06-14 09:28:00,490.41,SP,sao caetano do sul
b4e4f24de1e8725b74e4a1f4975116ed,5,2018-02-23 13:12:00,2018-03-30 20:48:00,274.95,MG,juiz de fora
5e8f38a9a1c023f3db718edcf926a2db,5,2017-08-21 10:20:00,2018-03-06 14:40:00,1114.18,BA,feira de santana
74cb1ad7e6d5674325c1f99b5ea30d82,5,2017-08-28 20:24:00,2018-04-03 01:16:00,451.17,SP,sao paulo
08e5b38d7948d37fbb2a59fc5e175ab1,4,2018-03-03 02:21:00,2018-05-10 03:38:00,1056.33,PB,joao pessoa
738ffcf1017b584e9d2684b36e07469c,4,2017-10-13 12:24:00,2018-06-16 01:10:00,779.1800000000001,GO,goiania
6358b15ef7fa9b1210f1a5735cabd3d9,4,2018-03-02 14:16:00,2018-06-04 14:22:00,311.14,SP,sao paulo
a1874c5550d2f0bc14cc122164603713,4,2017-06-30 13:40:00,2018-05-23 15:50:00,790.67,RJ,rio de janeiro
c8460e4251689ba205045f3ea17884a1,4,2018-08-07 09:03:00,2018-08-08 14:27:00,4655.88,RS,porto alegre
f64ec6d8dd29940264cd0bbb5ecade8a,4,2017-10-07 06:49:00,2017-11-21 18:18:00,359.0,RJ,petropolis
a7657330b1c135f3acd420326e335b2c,4,2017-05-18 20:51:00,2017-11-07 18:03:00,667.12,MG,coromandel
4facc2e6fbc2bffab2fea92d2b4aa7e4,4,2017-06-18 23:14:00,2018-08-13 22:51:00,1760.7499999999998,RS,porto alegre
b896655e2083a1d76b7b85df8fc86e40,4,2017-09-25 11:22:00,2018-07-06 10:45:00,507.06,SP,francisco morato
ec7f1811826ab04a27a92197bc40c888,4,2017-11-02 15:17:00,2017-12-19 05:16:00,556.94,RJ,rio de janeiro
b08fab27d47a1eb6deda07bfd965ad43,4,2017-09-04 10:18:00,2017-09-19 09:59:00,477.34,ES,sao mateus
acea6bd29b8c1e3c6a8b266a8fb4475e,4,2017-08-30 09:53:00,2018-05-04 09:09:00,646.99,RO,porto velho
b8b3c435a58aebd788a477bed8342910,4,2017-05-05 08:45:00,2017-08-24 10:29:00,807.45,RS,arroio do sal
83e7958a94bd7f74a9414d8782f87628,4,2017-01-05 12:01:00,2017-01-05 13:59:00,73.48,PR,curitiba
795c1622cf7a53d63d324e862349d01c,4,2018-01-15 23:15:00,2018-08-17 22:06:00,354.23,PR,curitiba
c37cc6c1a59d81460a3059744f7ada1c,4,2017-07-02 22:56:00,2018-06-21 21:04:00,663.02,SC,correia pinto
12d8b5ed661190a3a08183644dfc504d,4,2017-03-26 18:25:00,2018-05-02 11:58:00,857.95,ES,montanha
d3359a56d96666ac0c21bb01e7a61c95,4,2017-08-24 22:39:00,2018-03-21 18:59:00,428.38,SP,sao paulo
b39dde6dd619943190a8cc9aa6db38a4,4,2017-03-23 12:21:00,2018-02-20 12:26:00,769.81,SP,sao bernardo do campo
7305430719d715992b00be82af4a6aa8,4,2017-07-12 10:50:00,2018-08-16 15:54:00,439.31,RS,porto alegre
